screen_name,user_name,status_id,url,title,published_date,geoLocation
"Imwastntym","AspirantToRT’sAnnualTop10RussophobeList","1053132389382320128","Not Available","RT @staceyabrams: We're locked in the closest governor's race in the U.S.

The stakes could not be higher. The choice we face could not be…","Thu Oct 18 23:55:02 EDT 2018",
"Rey55292270","Rey","1053132387872358400","Not Available","RT @BrianKempGA: Radical Stacey Abrams wants to change Georgia with government-run healthcare, $13,000 in higher taxes, sanctuary cities, w…","Thu Oct 18 23:55:02 EDT 2018",
"trapademic326","prison chicken patti","1053132420772519936","Not Available","RT @staceyabrams: We're locked in the closest governor's race in the U.S.

The stakes could not be higher. The choice we face could not be…","Thu Oct 18 23:55:10 EDT 2018",
"liblibertary","❌ US Patriot ❌","1053132423251275777","Not Available","RT @BrianKempGA: Radical Stacey Abrams wants to change Georgia with government-run healthcare, $13,000 in higher taxes, sanctuary cities, w…","Thu Oct 18 23:55:10 EDT 2018",
"Worth1000Nerds","A. Knowles","1053132428435472384","Not Available","RT @RevJJackson: Please READ, SHARE WIDELY, LIKE & RT @Suntimes, “Georgia’s race for governor soiled by a conflict of interest.”
https://t.…","Thu Oct 18 23:55:11 EDT 2018",
"ANicole079","A_Nicole","1053132428754280448","Not Available","RT @MsPackyetti: If you saw that terribly racist video from #BrianKemp and it made you mad...

Go spend that anger on something useful: the…","Thu Oct 18 23:55:11 EDT 2018",
"hazy_hazy","hazier","1053132505463713792","Not Available","RT @AllResistNews: Some amazing Anti-Trump voices that you want to follow. RT & share this list: 

@KamalaHarris
@BetoORourke 
@girlsreally…","Thu Oct 18 23:55:30 EDT 2018",
"bluevirgo56","Bluevirgo56","1053132517686022149","Not Available","RT @RabbiJill: Dear @DNC YOU MUST WATCH @NicolleDWallace today. LISTEN to @SteveSchmidtSES @Rosie @Eugene_Robinson & Nicolle. STEP UP. Stop…","Thu Oct 18 23:55:33 EDT 2018",
"_AYOstasia","7️⃣ 💙","1053132538099720192","Not Available","RT @staceyabrams: We're locked in the closest governor's race in the U.S.

The stakes could not be higher. The choice we face could not be…","Thu Oct 18 23:55:37 EDT 2018",
"JustbeReal7","Justbe Real","1053132538078785536","Not Available","RT @staceyabrams: "We Are Georgia" Bus Tour: Day Four ✅

Today, we got out the vote in Griffin and Stockbridge – and we're just getting sta…","Thu Oct 18 23:55:37 EDT 2018",
"darrinlance","Darrin Owens","1053132550296756225","Not Available","RT @staceyabrams: We're locked in the closest governor's race in the U.S.

The stakes could not be higher. The choice we face could not be…","Thu Oct 18 23:55:40 EDT 2018",
"_parkermadison1","PB","1053132571427651584","https://t.co/0p2gGKlJBQ","RT @connorfscott: I’d rather sit in an ant bed https://t.co/0p2gGKlJBQ","Thu Oct 18 23:55:45 EDT 2018",
"sharon_ringel","Sharon Ringel","1053132581015838720","Not Available","RT @staceyabrams: We're locked in the closest governor's race in the U.S.

The stakes could not be higher. The choice we face could not be…","Thu Oct 18 23:55:48 EDT 2018",
"Dcybele","Vote November 6th","1053132616260435969","Not Available","RT @TheWayWithAnoa: They playing games. But our votes will be cast and they will be counted. I need y’all to lock in the election protectio…","Thu Oct 18 23:55:56 EDT 2018",
"OCWF1","OCWF","1053132618546339841","Not Available","RT @BrianKempGA: Radical Stacey Abrams wants to change Georgia with government-run healthcare, $13,000 in higher taxes, sanctuary cities, w…","Thu Oct 18 23:55:57 EDT 2018",
"TheMorningSpew","The Morning Spew","1053132631116836864","Not Available","They’re Independents, not stupid.","Thu Oct 18 23:56:00 EDT 2018",
"caroler42","Carole Reeves","1053132639132176385","Not Available","RT @BrianKempGA: Radical Stacey Abrams wants to change Georgia with government-run healthcare, $13,000 in higher taxes, sanctuary cities, w…","Thu Oct 18 23:56:02 EDT 2018",
