screen_name,user_name,status_id,url,title,published_date,geoLocation
"dadavies01","Denise Lee","1053720559698264066","Not Available",".@staceyabrams - a @MomsDemand Gun Sense candidate - is locked in the closest governor's race in the US. The stakes could not be higher: the lives of our loved ones.

We only have 18 days to help elect her. Volunteer to support her campaign Georgia: https://t.co/3ObNXyvDDD https://t.co/SMHCBFxtE4","Sat Oct 20 14:52:13 EDT 2018",
"lmjcoastline","Alice 🇧🇷 #Expectations","1053720565310205952","Not Available","@realDonaldTrump Are you talking about @staceyabrams ???? Cause you seem to be misinformed..as usual... https://t.co/Xm4e3NivD8","Sat Oct 20 14:52:14 EDT 2018",
"Sneakervisi0n","SneakerVision","1053720575749881856","Not Available","FYI, The Governor of Georgia was a #Democrat from 1872-2003.

Only the last two Governors (Sonny Perdue & Nathan Deal) were Republican.

Georgia has always been a Blue state and it’s time to get it #BackToBlue.

VOTE @staceyabrams for Governor. 

#GaPol #TheBlueWave #StaceyAbrams","Sat Oct 20 14:52:17 EDT 2018",
"RebelSister2","RebelSister","1053720591411236864","Not Available","@QuarterKg @KamalaHarris @LucyWins2018 @staceyabrams @LUnderwood630 @JahanaHayesCT @AyannaPressley I just LOVE IT when you disgusting filth try to use the "terrorist" playbook. WILLIAM WALLACE was considered a terrorist, yet you people just LOVE Braveheart. YOU are going to make him the Wallace of the Islamic faith. You are evil. You are disgusting. We need a Civil War. https://t.co/UU2kl1uFet","Sat Oct 20 14:52:20 EDT 2018",
"66taoist","Taoist","1053720597082058753","Not Available","Getting to vote for @staceyabrams today feels like something I’ve been waiting for my whole life. I am so grateful for the hundreds of years and thousands of lives that worked tirelessly for that privilege. Early voting ends Nov 2, and Election Day is Nov 6. GET OUT & VOTE! https://t.co/gRvxcg1p0x","Sat Oct 20 14:52:22 EDT 2018",
"WwwCpclang","Crystal Clang","1053720597908414466","Not Available","Although it's seemed to be true for some time now - I want to thanks @KamalaHarris @SenKamalaHarris for removing all doubt.  She is a bold-faced, blatant racist.  Imagine if you will, @realDonaldTrump posting a tweet like this saying "Elect White Men."  Let that sink in. #Racist! https://t.co/UluPcQF9E7","Sat Oct 20 14:52:22 EDT 2018",
"FreedomNews411","Freedom News 411","1053720599296655360","Not Available","If success is suppressing eligible voters, leaking our Social Security numbers, and pointing a shotgun at a child on TV, I'll pass.

I’ll take Medicaid expansion, excellent public schools, and good-paying jobs. Donate if you agree: https://t.co/DBH2UDaqOK #GAGov #gapol https://t.co/EP5GahmQhZ","Sat Oct 20 14:52:22 EDT 2018",
"Vote_Nov_6th","Sean Westbrook","1053720604753514507","https://t.co/Rx3ufYLq9M","@B52Malmet @staceyabrams https://t.co/Rx3ufYLq9M","Sat Oct 20 14:52:24 EDT 2018",
"I_Am_Maskil","Keni Maskil 🌊","1053720617218961408","Not Available","To win in 17 days, I need you to vote early AND volunteer hard.

The stakes are too high to sit on the sidelines this year. If we want more for our state, we must do more for ourselves and for our democracy.

Sign up for a volunteer shift this weekend: https://t.co/v8xF0ET48W","Sat Oct 20 14:52:26 EDT 2018",
"ibcpatton","IBCPatton 🇱🇷🌎🌊","1053720621345980416","Not Available","@realDonaldTrump Kemp is part of the #TrumpCrimeSyndicate All the way with @staceyabrams She has my vote. #VoteYourFuture","Sat Oct 20 14:52:27 EDT 2018",
"Vcondley2","Vcondley","1053720625691340800","Not Available","My babygirl is out there making history!!! #ProudMama #TheFutureIsFemale #VoteForOurRights 
WE GOT THIS @staceyabrams 💙🌊💙🌊 https://t.co/tNWLUHshe4","Sat Oct 20 14:52:29 EDT 2018",
"FifthHarmonyFox","5thHarmony #5H DMs","1053720626568065024","https://t.co/FbiTHJzMqa","https://t.co/FbiTHJzMqa","Sat Oct 20 14:52:29 EDT 2018",
"ItsMeKayliee","•knh•","1053720636760252416","Not Available","If success is suppressing eligible voters, leaking our Social Security numbers, and pointing a shotgun at a child on TV, I'll pass.

I’ll take Medicaid expansion, excellent public schools, and good-paying jobs. Donate if you agree: https://t.co/DBH2UDaqOK #GAGov #gapol https://t.co/EP5GahmQhZ","Sat Oct 20 14:52:31 EDT 2018",
"FifthHarmonyFox","5thHarmony #5H DMs","1053720637632638982","https://t.co/Tye6620Ftd","https://t.co/Tye6620Ftd","Sat Oct 20 14:52:31 EDT 2018",
"itscabello","maria","1053720641524748288","Not Available","@realDonaldTrump Are you talking about @staceyabrams ???? Cause you seem to be misinformed..as usual... https://t.co/Xm4e3NivD8","Sat Oct 20 14:52:32 EDT 2018",
"FifthHarmonyFox","5thHarmony #5H DMs","1053720640799338496","https://t.co/YxTeFtfDsL","https://t.co/YxTeFtfDsL","Sat Oct 20 14:52:32 EDT 2018",
